Id_Station,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,pH,Carbone,Nitrogen,CN,clay,silt,sand,Altitude,crusting,erodi,wr,parmado,clc,awc_top,bs_top,cec_top,dgh,dimp,pd_top,proxi_eau_fast,Latitude,Longitude
1,1.3986404725389674,-0.5360710814209027,1.3946375478346624,-2.0464667137742034,0.1916925181709917,1.7706840351335678,-1.6052739952702377,0.13259175969539072,1.1604334663369131,0.7990721549371578,1.79228639956527,3.240944471766479,3.9511060267760123,1.3265149079803644,0.5312913253918699,3.8245888716420424,2.0374188754886178,1.7322551852666581,3.4876416409805455,0.3432860730195226,-0.07556488417030648,0.00280142933137828,-0.18158158967270124,-0.4378747117627362,-0.7627467950151995,1.3149133282405336,-0.834019988810957,2.0,4.0,1.0,4.0,9.0,0.013011271203106732,-1.5184127471223972,1.5840110192454184,0.37220253737674364,0.2136951910430434,-0.8248322609515633,1.0,43.343999999999994,-1.53356667
4,1.1584678031879059,1.2368347472195862,0.37359961767319505,0.8164056058432866,1.8646124918465132,0.4613276413374812,1.3955791883980626,0.6487063597685622,1.4070146269105546,1.5333975698214648,0.8314316933022734,-0.46563001668681064,0.587684214252524,-0.9923997234539811,0.7509487545545094,-9.035102184367215e-05,-0.5991433176733842,-1.056507084982508,-0.5437022325635179,-0.3658039215951657,0.07349495778714495,0.04279052428084785,0.2950836948839401,1.9342392804300261,-0.29278438087768,-1.0034526181907366,-0.5682984513886438,2.0,2.0,1.0,2.0,11.0,0.013011271203106732,-0.2988077403671306,-0.6313087395543333,0.37220253737674364,0.2136951910430434,-0.8248322609515633,0.0,44.091,4.07343333
5,1.5907786080198165,0.08444595860326846,-0.3070923357677833,0.3447595220012188,1.6501355721445234,1.0948871867226844,0.5381925644928339,0.05318951353028742,1.479538497667508,1.7781727081162337,1.3327471922220977,-1.3068384112294011,-0.2674230262195493,-2.151857039171154,2.0688933295303467,-0.4273151578087671,-1.9286917740542229,-2.2488039976252674,-0.6980120459049174,0.5568889216832322,-0.4061510555297983,-0.564021038974926,-0.01336001130948991,-0.4378747117627362,1.4304111376265585,-0.7136568748868278,-0.7256848950441648,3.0,0.0,0.0,0.0,3.0,-4.703098517806043,0.7401150431651335,1.5840110192454184,0.37220253737674364,0.2136951910430434,1.2123677107953503,0.0,43.29,5.47743333
6,0.10170805804323524,-0.27013520712482936,-0.3070923357677833,0.17783950878962276,0.06300636634979771,0.16566652015771977,-0.10484740343608762,1.2243726444655612,-0.5946442059813576,0.16265679537075844,-0.004094138230767104,-1.0505327285172057,-1.6355946109748665,-0.09059958900729119,-1.1161393933279269,-1.4445170787300134,-0.39633084127630713,-0.4300459952888548,-0.9873429459200416,0.5052151406691159,-0.014559632842205116,-0.08664037277575877,0.2479931182523906,2.116709587521777,-0.7627467950151995,-0.7136568748868278,-0.7213835700767356,3.0,0.0,0.0,0.0,3.0,-4.703098517806043,0.7401150431651335,1.5840110192454184,0.37220253737674364,0.2136951910430434,1.2123677107953503,0.0,48.699,2.53443333
7,-0.042395543567401675,-0.7133616642849516,-0.3070923357677833,-0.23363773308082325,-0.2801567051733862,0.2923784292347604,-0.5764100465839633,0.13259175969539072,-0.6381585284355296,-0.18002839824191813,-0.04587042980741913,-1.0965363125937535,-1.6926017603396715,-0.09059958900729119,-1.1161393933279269,-1.4445170787300134,-0.46393500007533284,-0.551296528777949,-1.0066316725877165,-0.276093725870355,0.2058158363576229,0.09621697060118577,0.5338601332858092,-0.8028153259462381,-0.29278438087768,1.1700154565885792,-0.6192466850784337,3.0,0.0,0.0,0.0,8.0,-4.703098517806043,0.7401150431651335,1.5840110192454184,0.37220253737674364,0.2136951910430434,1.2123677107953503,0.0,48.806999999999995,2.09343333
9,-0.042395543567401675,-0.7133616642849516,-0.3070923357677833,-0.23363773308082325,-0.2801567051733862,0.2923784292347604,-0.5764100465839633,0.13259175969539072,-0.6381585284355296,-0.18002839824191813,-0.04587042980741913,-1.0965363125937535,-1.6926017603396715,-0.09059958900729119,-1.1161393933279269,-1.4445170787300134,-0.46393500007533284,-0.551296528777949,-1.0066316725877165,-0.2296907935219169,0.14426927648098498,0.0833151919738288,0.3584414418749987,-0.4378747117627362,-0.7627467950151995,1.3149133282405336,-0.6192466850784337,3.0,0.0,0.0,0.0,8.0,-4.703098517806043,0.7401150431651335,1.5840110192454184,0.37220253737674364,0.2136951910430434,1.2123677107953503,0.0,48.806999999999995,2.09343333
11,-0.1864991451780386,-0.27013520712482936,-0.6474383124882724,0.6261944279975145,-0.10857516941179425,-0.2989438131247625,0.1952379149307424,-1.376050917441572,-0.6961776250410923,-0.08211834292401055,-0.4636333455739394,-0.0844574629096993,-0.5524587730435737,0.36030047821605377,-0.5669958204213279,-0.3459390041350674,0.36984962511265074,0.29745720564571027,0.24713556081115481,0.29951349623036383,-0.14126608059809595,-0.11171507221389228,-0.18142567253225958,-0.4378747117627362,-0.7627467950151995,1.3149133282405336,-0.18967333510251277,3.0,2.0,1.0,2.0,9.0,1.2992230318419657,0.7401150431651335,-0.6313087395543333,0.37220253737674364,0.2136951910430434,1.2123677107953503,0.0,47.565,4.21743333
17,2.0711239467219396,-0.802006955716976,0.033253640952705894,-0.9517819759679225,1.2211817327405434,2.1508197623646894,-0.9622340273413162,0.4104996212732523,1.4940432718188985,1.9250377910930951,2.21004931533179,-0.6890759964871863,0.3026484674284996,-2.345099925124016,2.7278656170182654,0.5695427246940543,-2.0188306524529236,-1.6425513301797965,0.22784683414347986,0.19960323851212458,-0.034683765359939674,-0.06844316011667809,0.3786696830333309,0.10953620951251665,-1.0760550711068793,1.1700154565885792,-0.8607364094308306,2.0,3.0,1.0,1.0,12.0,-1.2732004894357523,0.7401150431651335,-0.6313087395543333,0.37220253737674364,0.2136951910430434,-0.8248322609515633,0.0,43.092,6.07143333
19,0.14974259191344755,-0.1814899156928049,-0.3070923357677833,0.1797804391758041,0.1487971342305937,0.2501411262090802,-0.10484740343608762,1.244223206006837,-0.5801394318299669,0.21161182302971224,0.03768215334588492,-1.1425398966703015,-1.5785874616100617,-0.1550138843249119,-1.1161393933279269,-1.525893232403713,-0.46393500007533284,-0.551296528777949,-1.0259203992553916,-0.45058524191046345,0.006720136278599492,-0.09790470950051909,0.32272644687894186,-0.4378747117627362,1.4304111376265585,-0.7136568748868278,-0.737867596707275,3.0,2.0,1.0,2.0,4.0,0.013011271203106732,0.7401150431651335,1.5840110192454184,0.37220253737674364,0.2136951910430434,1.2123677107953503,0.0,48.402,2.47143333
20,0.05367352417302293,-0.09284462426078044,-0.3070923357677833,0.2651813761677835,0.1059017502901957,0.08119191410635936,0.02376059014969669,1.2045220829242853,-0.6091489801327482,0.11370176771180464,-0.08764672138407116,-1.0833924314290255,-1.5215803122452567,-0.1550138843249119,-1.1161393933279269,-1.4445170787300134,-0.4414002804756576,-0.45025441753703715,-0.9873429459200416,-0.4212404221818124,0.19164095184035604,0.08413001837514739,0.5425341665997946,-0.4378747117627362,1.4304111376265585,-0.7136568748868278,-0.6898314634642171,3.0,5.0,1.0,1.0,8.0,-1.2732004894357523,-1.5184127471223972,-0.6313087395543333,0.37220253737674364,0.2136951910430434,-0.8248322609515633,0.0,48.446999999999996,2.69643333
